央视频道,#genre#
CCTV-1综合,http://111.162.207.1:8686/rtp/225.1.1.120:5002
CCTV-2财经,http://111.162.207.1:8686/rtp/225.1.1.133:5002
CCTV-3综艺,http://111.162.207.1:8686/rtp/225.1.1.158:5002
CCTV-4中文国际,http://111.162.207.1:8686/rtp/225.1.1.150:5002
CCTV-5体育,http://111.162.207.1:8686/rtp/225.1.1.160:5002
CCTV-5+体育赛事,http://111.162.207.1:8686/rtp/225.1.1.121:5002
CCTV-6电影,http://111.162.207.1:8686/rtp/225.1.1.195:5002
CCTV-7国防军事,http://111.162.207.1:8686/rtp/225.1.1.138:5002
CCTV-8电视剧,http://111.162.207.1:8686/rtp/225.1.1.196:5002
CCTV-9纪录,http://111.162.207.1:8686/rtp/225.1.1.119:5002
CCTV-10科教,http://111.162.207.1:8686/rtp/225.1.1.140:5002
CCTV-11戏曲,http://111.162.207.1:8686/rtp/225.1.2.192:5002
CCTV-12社会与法,http://111.162.207.1:8686/rtp/225.1.1.142:5002
CCTV-13新闻,http://111.162.207.1:8686/rtp/225.1.2.193:5002
CCTV-14少儿,http://111.162.207.1:8686/rtp/225.1.1.144:5002
CCTV-15音乐,http://111.162.207.1:8686/rtp/225.1.2.194:5002
CCTV-16奥林匹克,http://111.162.207.1:8686/rtp/225.1.2.237:5002
CCTV-17农业农村,http://111.162.207.1:8686/rtp/225.1.2.52:5002
CCTV4K,http://111.162.207.1:8686/rtp/225.1.2.245:5002
CCTV-1综合,http://117.8.140.93:8834/rtp/225.1.1.120:5002
CCTV-2财经,http://117.8.140.93:8834/rtp/225.1.1.133:5002
CCTV-3综艺,http://117.8.140.93:8834/rtp/225.1.1.158:5002
CCTV-4中文国际,http://117.8.140.93:8834/rtp/225.1.1.150:5002
CCTV-5体育,http://117.8.140.93:8834/rtp/225.1.1.160:5002
CCTV-5+体育赛事,http://117.8.140.93:8834/rtp/225.1.1.121:5002
CCTV-6电影,http://117.8.140.93:8834/rtp/225.1.1.195:5002
CCTV-7国防军事,http://117.8.140.93:8834/rtp/225.1.1.138:5002
CCTV-8电视剧,http://117.8.140.93:8834/rtp/225.1.1.196:5002
CCTV-9纪录,http://117.8.140.93:8834/rtp/225.1.1.119:5002
CCTV-10科教,http://117.8.140.93:8834/rtp/225.1.1.140:5002
CCTV-11戏曲,http://117.8.140.93:8834/rtp/225.1.2.192:5002
CCTV-12社会与法,http://117.8.140.93:8834/rtp/225.1.1.142:5002
CCTV-13新闻,http://117.8.140.93:8834/rtp/225.1.2.193:5002
CCTV-14少儿,http://117.8.140.93:8834/rtp/225.1.1.144:5002
CCTV-15音乐,http://117.8.140.93:8834/rtp/225.1.2.194:5002
CCTV-16奥林匹克,http://117.8.140.93:8834/rtp/225.1.2.237:5002
CCTV-17农业农村,http://117.8.140.93:8834/rtp/225.1.2.52:5002
CCTV4K,http://117.8.140.93:8834/rtp/225.1.2.245:5002
CCTV-1综合,http://117.8.141.47:8834/rtp/225.1.1.120:5002
CCTV-2财经,http://117.8.141.47:8834/rtp/225.1.1.133:5002
CCTV-3综艺,http://117.8.141.47:8834/rtp/225.1.1.158:5002
CCTV-4中文国际,http://117.8.141.47:8834/rtp/225.1.1.150:5002
CCTV-5体育,http://117.8.141.47:8834/rtp/225.1.1.160:5002
CCTV-5+体育赛事,http://117.8.141.47:8834/rtp/225.1.1.121:5002
