卫视频道,#genre#
黑龙江卫视,http://111.162.207.1:8686/rtp/225.1.1.115:5002
广东卫视,http://111.162.207.1:8686/rtp/225.1.1.116:5002
甘肃卫视,http://111.162.207.1:8686/rtp/225.1.1.159:5002
海南卫视,http://111.162.207.1:8686/rtp/225.1.2.82:5002
浙江卫视,http://111.162.207.1:8686/rtp/225.1.1.112:5002
湖南卫视,http://111.162.207.1:8686/rtp/225.1.1.114:5002
湖北卫视,http://111.162.207.1:8686/rtp/225.1.1.147:5002
四川卫视,http://111.162.207.1:8686/rtp/225.1.1.123:5002
江西卫视,http://111.162.207.1:8686/rtp/225.1.2.29:5002
辽宁卫视,http://111.162.207.1:8686/rtp/225.1.1.154:5002
安徽卫视,http://111.162.207.1:8686/rtp/225.1.1.127:5002
深圳卫视,http://111.162.207.1:8686/rtp/225.1.1.117:5002
福建东南卫视,http://111.162.207.1:8686/rtp/225.1.2.235:5002
吉林卫视,http://111.162.207.1:8686/rtp/225.1.2.26:5002
上海东方卫视,http://111.162.207.1:8686/rtp/225.1.2.31:5002
北京卫视,http://111.162.207.1:8686/rtp/225.1.1.113:5002
河北卫视,http://111.162.207.1:8686/rtp/225.1.2.27:5002
江苏卫视,http://111.162.207.1:8686/rtp/225.1.1.126:5002
河南卫视,http://111.162.207.1:8686/rtp/225.1.2.61:5002
重庆卫视,http://111.162.207.1:8686/rtp/225.1.1.155:5002
贵州卫视,http://111.162.207.1:8686/rtp/225.1.2.28:5002
青海卫视,http://111.162.207.1:8686/rtp/225.1.1.251:5002
三沙卫视,http://111.162.207.1:8686/rtp/225.1.1.182:5002
广西卫视,http://111.162.207.1:8686/rtp/225.1.2.81:5002
云南卫视,http://111.162.207.1:8686/rtp/225.1.1.250:5002
内蒙古卫视,http://111.162.207.1:8686/rtp/225.1.1.165:5002
新疆卫视,http://111.162.207.1:8686/rtp/225.1.1.166:5002
西藏卫视,http://111.162.207.1:8686/rtp/225.1.1.167:5002
宁夏卫视,http://111.162.207.1:8686/rtp/225.1.1.168:5002
兵团卫视,http://111.162.207.1:8686/rtp/225.1.1.169:5002
陕西卫视,http://111.162.207.1:8686/rtp/225.1.1.41:5002
山西卫视,http://111.162.207.1:8686/rtp/225.1.1.50:5002
卡酷少儿,http://111.162.207.1:8686/rtp/225.1.1.58:5002
哈哈炫动,http://111.162.207.1:8686/rtp/225.1.1.62:5002
金鹰卡通,http://111.162.207.1:8686/rtp/225.1.2.236:5002
北京纪实科教,http://111.162.207.1:8686/rtp/225.1.2.30:5002
金鹰纪实,http://111.162.207.1:8686/rtp/225.1.1.124:5002
山东教育卫视,http://111.162.207.1:8686/rtp/225.1.2.118:5002
黑龙江卫视,http://60.26.183.46:6841/rtp/225.1.1.115:5002
广东卫视,http://60.26.183.46:6841/rtp/225.1.1.116:5002
甘肃卫视,http://60.26.183.46:6841/rtp/225.1.1.159:5002
海南卫视,http://60.26.183.46:6841/rtp/225.1.2.82:5002
浙江卫视,http://60.26.183.46:6841/rtp/225.1.1.112:5002
湖南卫视,http://60.26.183.46:6841/rtp/225.1.1.114:5002
湖北卫视,http://60.26.183.46:6841/rtp/225.1.1.147:5002
四川卫视,http://60.26.183.46:6841/rtp/225.1.1.123:5002
江西卫视,http://60.26.183.46:6841/rtp/225.1.2.29:5002
辽宁卫视,http://60.26.183.46:6841/rtp/225.1.1.154:5002
安徽卫视,http://60.26.183.46:6841/rtp/225.1.1.127:5002
深圳卫视,http://60.26.183.46:6841/rtp/225.1.1.117:5002
福建东南卫视,http://60.26.183.46:6841/rtp/225.1.2.235:5002
吉林卫视,http://60.26.183.46:6841/rtp/225.1.2.26:5002
上海东方卫视,http://60.26.183.46:6841/rtp/225.1.2.31:5002
北京卫视,http://60.26.183.46:6841/rtp/225.1.1.113:5002
河北卫视,http://60.26.183.46:6841/rtp/225.1.2.27:5002
江苏卫视,http://60.26.183.46:6841/rtp/225.1.1.126:5002
河南卫视,http://60.26.183.46:6841/rtp/225.1.2.61:5002
重庆卫视,http://60.26.183.46:6841/rtp/225.1.1.155:5002
贵州卫视,http://60.26.183.46:6841/rtp/225.1.2.28:5002
青海卫视,http://60.26.183.46:6841/rtp/225.1.1.251:5002
三沙卫视,http://60.26.183.46:6841/rtp/225.1.1.182:5002
广西卫视,http://60.26.183.46:6841/rtp/225.1.2.81:5002
云南卫视,http://60.26.183.46:6841/rtp/225.1.1.250:5002
内蒙古卫视,http://60.26.183.46:6841/rtp/225.1.1.165:5002
新疆卫视,http://60.26.183.46:6841/rtp/225.1.1.166:5002
西藏卫视,http://60.26.183.46:6841/rtp/225.1.1.167:5002
宁夏卫视,http://60.26.183.46:6841/rtp/225.1.1.168:5002
兵团卫视,http://60.26.183.46:6841/rtp/225.1.1.169:5002
陕西卫视,http://60.26.183.46:6841/rtp/225.1.1.41:5002
山西卫视,http://60.26.183.46:6841/rtp/225.1.1.50:5002
卡酷少儿,http://60.26.183.46:6841/rtp/225.1.1.58:5002
哈哈炫动,http://60.26.183.46:6841/rtp/225.1.1.62:5002
金鹰卡通,http://60.26.183.46:6841/rtp/225.1.2.236:5002
北京纪实科教,http://60.26.183.46:6841/rtp/225.1.2.30:5002
金鹰纪实,http://60.26.183.46:6841/rtp/225.1.1.124:5002
山东教育卫视,http://60.26.183.46:6841/rtp/225.1.2.118:5002
