付费频道,#genre#
风云足球,http://111.162.205.163:8686/rtp/225.1.2.168:5002
高尔夫网球,http://111.162.205.163:8686/rtp/225.1.2.169:5002
第一剧场,http://111.162.205.163:8686/rtp/225.1.2.175:5002
怀旧剧场,http://111.162.205.163:8686/rtp/225.1.2.173:5002
风云剧场,http://111.162.205.163:8686/rtp/225.1.2.174:5002
世界地理,http://111.162.205.163:8686/rtp/225.1.2.171:5002
兵器科技,http://111.162.205.163:8686/rtp/225.1.2.166:5002
央视文化精品,http://111.162.205.163:8686/rtp/225.1.2.177:5002
女性时尚,http://111.162.205.163:8686/rtp/225.1.2.172:5002
风云音乐,http://111.162.205.163:8686/rtp/225.1.2.176:5002
电视指南,http://111.162.205.163:8686/rtp/225.1.2.167:5002
央视台球,http://111.162.205.163:8686/rtp/225.1.2.170:5002
卫生健康,http://111.162.205.163:8686/rtp/225.1.2.165:5002
CHC家庭影院,http://111.162.205.163:8686/rtp/225.1.1.213:5002
CHC影迷电影,http://111.162.205.163:8686/rtp/225.1.1.214:5002
CHC动作电影,http://111.162.205.163:8686/rtp/225.1.1.215:5002
早期教育,http://111.162.205.163:8686/rtp/225.1.2.207:5002
动漫秀场,http://111.162.205.163:8686/rtp/225.1.1.134:5002
游戏风云,http://111.162.205.163:8686/rtp/225.1.1.135:5002
IPTV5+,http://111.162.205.163:8686/rtp/225.1.1.106:5002
羽球精品赛事,http://111.162.205.163:8686/rtp/225.1.2.1:5002
欢笑剧场,http://111.162.205.163:8686/rtp/225.1.1.139:5002
都市剧场,http://111.162.205.163:8686/rtp/225.1.1.146:5002
精彩影视,http://111.162.205.163:8686/rtp/225.1.1.141:5002
中华特产,http://111.162.205.163:8686/rtp/225.1.2.248:5002
中华美食,http://111.162.205.163:8686/rtp/225.1.1.77:5002
陶瓷,http://111.162.205.163:8686/rtp/225.1.2.189:5002
生活时尚,http://111.162.205.163:8686/rtp/225.1.1.143:5002
乐游,http://111.162.205.163:8686/rtp/225.1.1.145:5002
金色学堂,http://111.162.205.163:8686/rtp/225.1.1.236:5002
法治天地,http://111.162.205.163:8686/rtp/225.1.1.237:5002
东方财经,http://111.162.205.163:8686/rtp/225.1.1.247:5002
梨园频道,http://111.162.205.163:8686/rtp/225.1.2.104:5002
文物宝库,http://111.162.205.163:8686/rtp/225.1.2.105:5002
武术世界,http://111.162.205.163:8686/rtp/225.1.2.129:5002
快乐垂钓,http://111.162.205.163:8686/rtp/225.1.2.18:5002
茶频道,http://111.162.205.163:8686/rtp/225.1.2.19:5002
